Site ,Transect ,Meters,Yes or No,Double verification 
15,1,44,Yes,
15,1,46,Yes,
15,1,48,Yes,
15,1,50,Yes,
15,2,0,Yes,
15,2,2,Na,
15,2,4,Yes,
15,2,6,Yes,
15,2,8,Yes,
15,2,10,Yes,
15,2,12,Yes,
15,2,14,Yes,
15,2,16,Yes,
15,2,18,Yes,
15,2,20,Yes,
15,2,22,Yes,
15,2,24,Yes,
15,2,26,Yes,
15,2,28,Yes,
15,2,30,Yes,
15,2,32,Yes,
15,2,34,Yes,
15,2,36,Yes,
15,2,38,Yes,
15,2,40,Yes,
15,2,42,Yes,
15,2,44,Yes,
15,2,46,Yes,
15,2,48,Yes,
15,2,50,Yes,
15,3,0,Yes,
15,3,2,Yes,
15,3,4,Yes,
15,3,6,Yes,
15,3,8,Yes,
15,3,10,Yes,
15,3,12,Yes,
15,3,14,Yes,
15,3,16,Yes,
15,3,18,Yes,
15,3,20,Yes,
15,3,22,Yes,
15,3,24,Yes,
15,3,26,Yes,
15,3,28,Yes,
15,3,30,Yes,
15,3,32,Yes,
15,3,34,Yes,
15,3,36,Yes,
15,3,38,Yes,
15,3,40,Yes,
15,3,42,Yes,
15,3,44,Yes,
15,3,46,Yes,
15,3,48,Yes,
15,3,50,Yes,
15,4,0,Yes,
15,4,2,Yes,
15,4,4,Yes,
15,4,6,Yes,
15,4,8,Yes,
15,4,10,Yes,
15,4,12,Yes,
15,4,14,Yes,
15,4,16,Yes,
15,4,18,Yes,
15,4,20,Yes,
15,4,22,Yes,
15,4,24,Yes,
15,4,26,Yes,
15,4,28,Yes,
15,4,30,Yes,
15,4,32,Yes,
15,4,34,Yes,
15,4,36,Yes,
15,4,38,Yes,
15,4,40,Yes,
15,4,42,Yes,
15,4,44,Yes,
15,4,46,Yes,
15,4,48,Yes,
15,4,50,Yes,
18,1,0,Na,
18,1,2,Yes,
18,1,4,Na,
18,1,6,Na,
18,1,8,Na,
18,1,10,Yes,
18,1,12,Na,
18,1,14,Yes,
18,1,16,Na,
18,1,18,Yes,
18,1,20,Na,
18,1,22,Yes,
18,1,24,Na,
18,1,26,Na,
18,1,28,Yes,
18,1,30,Na,
18,1,32,Na,
18,1,34,Na,
18,1,36,Na,
18,1,38,Yes,
18,1,40,Yes,
18,1,42,Yes,
18,1,44,Yes,
18,1,46,Na,
18,1,48,Na,
18,1,50,Na,
18,2,0,Yes,
18,2,2,Yes,
18,2,4,Yes,
18,2,6,Yes,
18,2,8,Yes,
18,2,10,Yes,
18,2,12,Yes,
18,2,14,Yes,
18,2,16,Yes,
18,2,18,Yes,
18,2,20,Yes,
18,2,22,Yes,
18,2,24,Yes,
18,2,26,Yes,
18,2,28,Yes,
18,2,30,Na,
18,2,32,Yes,
18,2,34,Yes,
18,2,36,Yes,
18,2,38,Yes,
18,2,40,Yes,
18,2,42,Na,
18,2,44,Na,
18,2,46,Yes,
18,2,48,Yes,
18,2,50,Na,
18,3,0,Yes,
18,3,2,Na,
18,3,4,Yes,
18,3,6,Yes,
18,3,8,Yes,
18,3,10,Yes,
18,3,12,Yes,
18,3,14,Yes,
18,3,16,Yes,
18,3,18,Na,
18,3,20,Yes,
18,3,22,Na,
18,3,24,Yes,
18,3,26,Na,
18,3,28,Yes,
18,3,30,Yes,
18,3,32,Yes,
18,3,34,Yes,
18,3,36,Yes,
18,3,38,Yes,
18,3,40,Yes,
18,3,42,Na,
18,3,44,Yes,
18,3,46,Yes,
18,3,48,Yes,
18,3,50,Yes,
