Year,Site,Habitat,Genus,Dry_Weight,C,H,N,CN_ratio,Comment
2009,LTER_4,Backreef,Turbinaria,2338,27.4,3.26,0.641,42.7,NA
2009,LTER_4,Backreef,Turbinaria,2324,28.5,3.75,0.538,52.9,NA
2009,LTER_4,Fringing,Turbinaria,2345,25.3,3.61,0.629,40.2,NA
2009,LTER_4,Fringing,Turbinaria,2176,25.2,3.5,0.65,38.7,NA
2009,LTER_4,Fringing,Turbinaria,2317,24.7,3.04,0.65,38.1,NA
2009,LTER_4,Fringing,Turbinaria,2062,25.2,3.55,0.694,36.3,NA
2009,LTER_4,Fringing,Turbinaria,2342,25.5,3.66,0.722,35.3,NA
2009,LTER_4,Fringing,Turbinaria,2151,26.2,3.87,0.677,38.7,NA
2009,LTER_4,Fringing,Turbinaria,2400,25,3.58,0.714,35,NA
2009,LTER_4,Fringing,Turbinaria,2447,25.2,3.76,0.802,31.4,NA
2009,LTER_4,Fringing,Turbinaria,2199,26.4,3.82,0.623,42.4,NA
2009,LTER_4,Fringing,Turbinaria,2452,26.7,3.96,0.74,36.1,NA
2009,LTER_4,Reefcrest,Sargassum,2249,30.6,4.46,0.894,34.2,NA
2009,LTER_4,Reefcrest,Sargassum,2105,32.3,4.81,0.835,38.7,NA
2009,LTER_4,Reefcrest,Sargassum,2238,33.6,5.08,1.17,28.7,NA
2009,LTER_4,Reefcrest,Sargassum,2431,33.5,5.02,1.22,27.4,NA
2009,LTER_4,Reefcrest,Sargassum,2316,32.9,5.25,0.928,35.5,NA
2009,LTER_4,Reefcrest,Sargassum,2236,31.7,4.01,0.892,35.5,NA
2009,LTER_4,Reefcrest,Sargassum,2363,31.3,4.06,0.99,31.6,NA
2009,LTER_4,Reefcrest,Sargassum,2198,29.4,3.65,1.01,29.1,NA
2009,LTER_4,Reefcrest,Sargassum,2417,27.4,3.45,0.988,27.8,NA
2009,LTER_4,Reefcrest,Sargassum,2390,27.1,3.58,0.84,32.3,NA
2009,LTER_4,Reefcrest,Turbinaria,2140,24.7,3.29,0.567,43.5,NA
2009,LTER_4,Reefcrest,Turbinaria,2418,28.3,3.82,0.707,40,NA
2009,LTER_4,Reefcrest,Turbinaria,2443,27.2,3.65,0.664,41,NA
2009,LTER_4,Reefcrest,Turbinaria,2150,27.5,3.65,0.737,37.3,NA
2009,LTER_4,Reefcrest,Turbinaria,2488,28.1,3.87,0.587,47.9,NA
2009,LTER_4,Reefcrest,Turbinaria,2356,27.7,3.73,0.562,49.3,NA
2009,LTER_4,Reefcrest,Turbinaria,2392,26.9,3.14,0.678,39.7,NA
2009,LTER_4,Reefcrest,Turbinaria,2102,26.7,3.46,0.707,37.8,NA
2009,LTER_4,Reefcrest,Turbinaria,2485,26.8,3.53,0.658,40.8,NA
2009,LTER_4,Reefcrest,Turbinaria,2244,28.2,3.74,0.64,44,NA
2009,LTER_5,Backreef,Turbinaria,2452,29.9,4.49,0.616,48.5,NA
2009,LTER_5,Backreef,Turbinaria,2344,29.9,4.12,0.51,58.7,NA
2009,LTER_5,Backreef,Turbinaria,2270,28.4,4.2,0.549,51.7,NA
2009,LTER_5,Backreef,Turbinaria,2097,27.8,4.01,0.564,49.3,NA
2009,LTER_5,Backreef,Turbinaria,2150,30.8,4.69,0.521,59,NA
2009,LTER_5,Backreef,Turbinaria,2177,26.4,3.8,0.561,47,NA
2009,LTER_5,Backreef,Turbinaria,2379,27.3,4.01,0.593,46.1,NA
2009,LTER_5,Backreef,Turbinaria,2471,32.6,5.2,0.56,58.2,NA
2009,LTER_5,Backreef,Turbinaria,2314,30.4,4.12,0.688,44.2,NA
2009,LTER_5,Backreef,Turbinaria,2118,30.7,4.9,0.629,48.8,NA
2009,LTER_5,Fringing,Turbinaria,2157,24.8,3.25,0.746,33.2,NA
2009,LTER_5,Fringing,Turbinaria,2077,24.8,3.19,0.679,36.5,NA
2009,LTER_5,Fringing,Turbinaria,2014,24.3,3.01,0.744,32.6,NA
2009,LTER_5,Fringing,Turbinaria,2468,27.1,3.41,0.729,37.2,NA
2009,LTER_5,Fringing,Turbinaria,2085,24,3.4,0.724,33.2,NA
2009,LTER_5,Fringing,Turbinaria,2183,26.4,3.76,0.802,33,NA
2009,LTER_5,Fringing,Turbinaria,2261,25.8,3.64,0.83,31.1,NA
2009,LTER_5,Fringing,Turbinaria,2189,25.8,3.67,0.679,38,NA
2009,LTER_5,Fringing,Turbinaria,2077,25.8,3.55,0.812,31.8,NA
2009,LTER_5,Fringing,Turbinaria,2092,27.2,3.79,0.764,35.6,NA
2009,LTER_5,Reefcrest,Sargassum,2048,31.8,3.96,0.92,34.5,NA
2009,LTER_5,Reefcrest,Sargassum,2477,30.6,3.8,1.17,26.2,NA
2009,LTER_5,Reefcrest,Sargassum,2267,29.2,3.74,1.17,25,NA
2009,LTER_5,Reefcrest,Sargassum,2260,31.4,3.9,1.07,29.2,NA
2009,LTER_5,Reefcrest,Sargassum,2205,29.8,3.64,1.3,22.9,NA
2009,LTER_5,Reefcrest,Sargassum,2317,31.7,4.04,1.39,22.9,NA
2009,LTER_5,Reefcrest,Sargassum,2217,33.7,4.49,1.24,27.1,NA
2009,LTER_5,Reefcrest,Sargassum,2349,31.5,3.82,1.07,29.4,NA
2009,LTER_5,Reefcrest,Sargassum,2200,32.7,4,1.04,31.4,NA
2009,LTER_5,Reefcrest,Sargassum,2427,32.7,4.07,1.3,25.1,NA
2009,LTER_5,Reefcrest,Turbinaria,2272,30.4,4.69,0.646,47,NA
2009,LTER_5,Reefcrest,Turbinaria,2407,28.2,4.45,0.739,38.2,NA
2009,LTER_5,Reefcrest,Turbinaria,2289,28.4,4.41,0.761,37.3,NA
2009,LTER_5,Reefcrest,Turbinaria,2449,28,4.24,0.772,36.2,NA
2009,LTER_5,Reefcrest,Turbinaria,2472,27.2,4.17,0.68,40,NA
2009,LTER_5,Reefcrest,Turbinaria,2291,27.9,4.24,0.755,36.9,NA
2009,LTER_5,Reefcrest,Turbinaria,2300,26.9,3.5,0.747,36,NA
2009,LTER_5,Reefcrest,Turbinaria,2054,27.8,4.03,0.763,36.4,NA
2009,LTER_5,Reefcrest,Turbinaria,2354,28.2,4.24,0.782,36.1,NA
2009,LTER_6,Backreef,Turbinaria,2340,26.7,3.48,0.686,38.9,NA
2009,LTER_6,Backreef,Turbinaria,2112,25.8,3.32,0.665,38.7,NA
2009,LTER_6,Backreef,Turbinaria,2204,28.2,3.31,0.519,54.3,NA
2009,LTER_6,Backreef,Turbinaria,2320,27.9,3.57,0.686,40.7,NA
2009,LTER_6,Backreef,Turbinaria,2469,28.3,3.68,0.67,42.3,NA
2009,LTER_6,Backreef,Turbinaria,2211,25.2,3.26,0.759,33.1,NA
2009,LTER_6,Backreef,Turbinaria,2321,25.9,3.31,0.729,35.5,NA
2009,LTER_6,Backreef,Turbinaria,2140,27.7,3.59,0.697,39.7,NA
2009,LTER_6,Backreef,Turbinaria,2109,27.4,3.52,0.584,47,NA
2009,LTER_6,Fringing,Turbinaria,2231,28.6,4.33,0.82,34.9,NA
2009,LTER_6,Fringing,Turbinaria,2086,28.9,4.36,0.704,41.1,NA
2009,LTER_6,Fringing,Turbinaria,2117,27.2,3.98,0.711,38.2,NA
2009,LTER_6,Fringing,Turbinaria,2275,27.9,4.2,0.722,38.7,NA
2009,LTER_6,Fringing,Turbinaria,2429,28.3,3.39,0.799,35.4,NA
2009,LTER_6,Fringing,Turbinaria,2396,30.3,4,0.862,35.1,NA
2009,LTER_6,Fringing,Turbinaria,2224,29,3.87,0.777,37.3,NA
2009,LTER_6,Fringing,Turbinaria,2098,29.1,3.96,0.824,35.3,NA
2009,LTER_6,Fringing,Turbinaria,2440,27.8,3.71,0.683,40.7,NA
2009,LTER_6,Fringing,Turbinaria,2296,28.3,3.78,0.758,37.3,NA
2009,LTER_6,Reefcrest,Sargassum,2206,30.2,3.91,1.14,26.5,NA
2009,LTER_6,Reefcrest,Sargassum,2329,29.1,3.66,1.26,23.1,NA
2009,LTER_6,Reefcrest,Sargassum,2154,29.3,3.76,1.15,25.5,NA
2009,LTER_6,Reefcrest,Sargassum,2319,30.6,3.95,0.922,33.2,NA
2009,LTER_6,Reefcrest,Sargassum,2440,31.4,4.17,1.21,26.1,NA
2009,LTER_6,Reefcrest,Sargassum,2271,35.1,4.9,0.925,37.9,NA
2009,LTER_6,Reefcrest,Sargassum,2156,32.7,4.39,1.09,29.9,NA
2009,LTER_6,Reefcrest,Sargassum,2333,32.3,4.19,1,32.3,NA
2009,LTER_6,Reefcrest,Sargassum,2204,32.2,4.43,1.03,31.4,NA
2009,LTER_6,Reefcrest,Turbinaria,2253,28.4,3.84,0.562,50.5,NA
2009,LTER_6,Reefcrest,Turbinaria,2417,28.9,3.42,0.554,52.1,NA
2009,LTER_6,Reefcrest,Turbinaria,2017,30.5,4.26,0.472,64.6,NA
2009,LTER_6,Reefcrest,Turbinaria,2337,31.7,4.81,0.434,73,NA
2009,LTER_6,Reefcrest,Turbinaria,2275,28.5,4.09,0.506,56.2,NA
2009,LTER_6,Reefcrest,Turbinaria,2391,27.7,3.82,0.613,45.2,NA
2009,LTER_6,Reefcrest,Turbinaria,2138,28.4,3.97,0.498,57.1,NA
2009,LTER_6,Reefcrest,Turbinaria,2087,30.8,4.56,0.492,62.7,NA
2009,LTER_6,Reefcrest,Turbinaria,2238,29.2,3.55,0.632,46.3,NA
2009,LTER_6,Reefcrest,Turbinaria,2322,29.1,4.13,0.512,56.9,NA
2010,LTER_1,Backreef,Turbinaria,2046,26.3,3.24,0.641,41,NA
2010,LTER_1,Backreef,Turbinaria,2375,25.5,3.27,0.752,33.9,NA
2010,LTER_1,Backreef,Turbinaria,2389,25.6,3.24,0.671,38.1,NA
2010,LTER_1,Backreef,Turbinaria,2101,31.2,4.21,0.815,38.3,NA
2010,LTER_1,Backreef,Turbinaria,2488,29.4,4.04,0.835,35.2,NA
2010,LTER_1,Backreef,Turbinaria,2175,29.9,4.08,0.854,35,NA
2010,LTER_1,Backreef,Turbinaria,2033,28.9,3.82,0.657,44,NA
2010,LTER_1,Backreef,Turbinaria,2118,28.2,3.76,0.881,32,NA
2010,LTER_1,Backreef,Turbinaria,2272,29.3,4.02,0.816,35.9,NA
2010,LTER_1,Backreef,Turbinaria,2347,29.7,4.1,0.8,37.1,NA
2010,LTER_1,Fringing,Turbinaria,2107,28.8,3.64,0.823,35.1,NA
2010,LTER_1,Fringing,Turbinaria,2059,28.2,3.66,0.789,35.8,NA
2010,LTER_1,Fringing,Turbinaria,2130,26.9,3.44,0.689,39.1,NA
2010,LTER_1,Fringing,Turbinaria,2030,27,3.46,0.651,41.5,NA
2010,LTER_1,Fringing,Turbinaria,2212,28.5,3.67,0.795,35.9,NA
2010,LTER_1,Fringing,Turbinaria,2427,27.4,3.53,0.724,37.8,NA
2010,LTER_1,Fringing,Turbinaria,2078,27.2,3.35,0.776,35,NA
2010,LTER_1,Fringing,Turbinaria,2272,23.6,3.03,0.593,39.8,NA
2010,LTER_1,Fringing,Turbinaria,2285,27.3,3.3,0.712,38.4,NA
2010,LTER_1,Fringing,Turbinaria,2363,26.8,3.27,0.67,40,NA
2010,LTER_1,Reefcrest,Turbinaria,2315,28.1,3.97,0.754,37.2,NA
2010,LTER_1,Reefcrest,Turbinaria,2109,28.7,3.98,0.811,35.4,NA
2010,LTER_1,Reefcrest,Turbinaria,2035,30,4.23,0.762,39.3,NA
2010,LTER_1,Reefcrest,Turbinaria,2169,30.9,4.51,0.743,41.6,NA
2010,LTER_1,Reefcrest,Turbinaria,2444,29.1,4.12,0.63,46.1,NA
2010,LTER_1,Reefcrest,Turbinaria,2370,27.8,3.89,0.783,35.5,NA
2010,LTER_1,Reefcrest,Turbinaria,2276,28.8,4.17,0.8,36.1,NA
2010,LTER_1,Reefcrest,Turbinaria,2143,28.3,3.93,0.872,32.4,NA
2010,LTER_1,Reefcrest,Turbinaria,2145,27.3,3.82,0.604,45.2,NA
2010,LTER_1,Reefcrest,Turbinaria,2354,28.1,3.83,0.617,45.5,NA
2010,LTER_2,Backreef,Turbinaria,2176,25.5,3.38,0.891,28.6,NA
2010,LTER_2,Backreef,Turbinaria,2298,26.9,3.57,0.802,33.5,NA
2010,LTER_2,Backreef,Turbinaria,2229,26.4,3.48,0.608,43.4,NA
2010,LTER_2,Backreef,Turbinaria,2175,26.9,3.51,0.752,35.8,NA
2010,LTER_2,Backreef,Turbinaria,2304,27.2,3.65,0.815,33.4,NA
2010,LTER_2,Backreef,Turbinaria,2432,28.5,3.71,0.647,44,NA
2010,LTER_2,Backreef,Turbinaria,2223,27.7,3.68,0.686,40.4,NA
2010,LTER_2,Backreef,Turbinaria,2347,28,3.86,0.515,54.4,NA
2010,LTER_2,Backreef,Turbinaria,2047,26.8,3.54,0.668,40.1,NA
2010,LTER_2,Backreef,Turbinaria,2170,30.2,4.03,0.669,45.1,NA
2010,LTER_2,Fringing,Turbinaria,2343,27.9,3.68,0.837,33.4,NA
2010,LTER_2,Fringing,Turbinaria,2173,27.3,3.59,0.79,34.6,NA
2010,LTER_2,Fringing,Turbinaria,2291,29.5,3.89,0.962,30.7,NA
2010,LTER_2,Fringing,Turbinaria,2332,26.9,3.57,0.679,39.7,NA
2010,LTER_2,Fringing,Turbinaria,2393,27.8,3.66,1.01,27.6,NA
2010,LTER_2,Fringing,Turbinaria,2264,26.2,3.44,0.699,37.5,NA
2010,LTER_2,Fringing,Turbinaria,2327,27.6,3.6,0.68,40.6,NA
2010,LTER_2,Fringing,Turbinaria,2244,28.7,3.72,0.944,30.4,NA
2010,LTER_2,Reefcrest,Turbinaria,2107,28.4,3.94,0.707,40.2,NA
2010,LTER_2,Reefcrest,Turbinaria,2254,30.1,4.2,0.824,36.6,NA
2010,LTER_2,Reefcrest,Turbinaria,2308,28.8,4.06,0.815,35.4,NA
2010,LTER_2,Reefcrest,Turbinaria,2221,27.4,3.83,0.705,38.8,NA
2010,LTER_2,Reefcrest,Turbinaria,2448,28.7,4.02,0.78,36.9,NA
2010,LTER_2,Reefcrest,Turbinaria,2248,29,4.02,0.817,35.5,NA
2010,LTER_2,Reefcrest,Turbinaria,2163,28.7,3.89,0.854,33.5,NA
2010,LTER_2,Reefcrest,Turbinaria,2298,28.5,3.92,0.762,37.4,NA
2010,LTER_2,Reefcrest,Turbinaria,2048,26.2,3.52,0.837,31.4,NA
2010,LTER_2,Reefcrest,Turbinaria,2085,28.6,3.73,0.723,39.6,NA
2010,LTER_3,Backreef,Turbinaria,2140,29.1,4.23,0.49,59.4,NA
2010,LTER_3,Backreef,Turbinaria,2053,26.8,3.47,0.576,46.6,NA
2010,LTER_3,Backreef,Turbinaria,2169,27.6,3.44,0.544,50.7,NA
2010,LTER_3,Backreef,Turbinaria,2251,27.2,3.62,0.546,49.8,NA
2010,LTER_3,Backreef,Turbinaria,2349,29,3.88,0.824,35.1,NA
2010,LTER_3,Backreef,Turbinaria,2191,30.8,4.24,0.489,63,NA
2010,LTER_3,Backreef,Turbinaria,2100,28.2,3.69,0.638,44.3,NA
2010,LTER_3,Backreef,Turbinaria,2393,25.1,3.27,0.677,37.1,NA
2010,LTER_3,Backreef,Turbinaria,2107,28.5,3.82,0.589,48.4,NA
2010,LTER_3,Backreef,Turbinaria,2270,30.8,4.25,0.558,55.3,NA
2010,LTER_3,Fringing,Turbinaria,2390,27.6,3.66,0.87,31.7,NA
2010,LTER_3,Fringing,Turbinaria,2178,28.4,3.79,0.927,30.7,NA
2010,LTER_3,Fringing,Turbinaria,2512,27.4,3.67,1.09,25,NA
2010,LTER_3,Fringing,Turbinaria,2133,28.4,3.76,0.97,29.3,NA
2010,LTER_3,Fringing,Turbinaria,2307,28,3.72,0.823,34,NA
2010,LTER_3,Fringing,Turbinaria,2221,29.4,3.94,0.915,32.2,NA
2010,LTER_3,Fringing,Turbinaria,2183,27.3,3.6,0.719,38,NA
2010,LTER_3,Fringing,Turbinaria,2398,27.5,3.64,0.705,39,NA
2010,LTER_3,Fringing,Turbinaria,2191,27.7,3.61,0.805,34.4,NA
2010,LTER_3,Fringing,Turbinaria,2109,19.1,2.46,0.438,43.5,NA
2010,LTER_3,Reefcrest,Turbinaria,2493,29.4,4.1,0.748,39.3,NA
2010,LTER_3,Reefcrest,Turbinaria,2285,29.6,4.23,0.724,40.9,NA
2010,LTER_3,Reefcrest,Turbinaria,2296,30.5,4.25,0.705,43.3,NA
2010,LTER_3,Reefcrest,Turbinaria,2420,27.3,3.73,0.73,37.4,NA
2010,LTER_3,Reefcrest,Turbinaria,2326,27.9,3.8,0.664,42.1,NA
2010,LTER_3,Reefcrest,Turbinaria,2207,29.7,4.32,0.706,42.1,NA
2010,LTER_3,Reefcrest,Turbinaria,2196,28,3.78,0.737,38,NA
2010,LTER_3,Reefcrest,Turbinaria,2242,29.3,3.76,0.673,43.5,NA
2010,LTER_3,Reefcrest,Turbinaria,2145,29.6,4,0.663,44.6,NA
2010,LTER_3,Reefcrest,Turbinaria,2166,27.8,3.98,0.77,36.1,NA
2010,LTER_4,Backreef,Turbinaria,2432,29.9,4.07,0.746,40.1,NA
2010,LTER_4,Backreef,Turbinaria,2134,29.8,4.06,0.747,39.9,NA
2010,LTER_4,Backreef,Turbinaria,2234,29.7,4.03,0.681,43.6,NA
2010,LTER_4,Backreef,Turbinaria,2367,28.6,3.85,0.617,46.4,NA
2010,LTER_4,Backreef,Turbinaria,2451,28.1,3.72,0.686,41,NA
2010,LTER_4,Backreef,Turbinaria,2120,26.9,3.55,0.672,40.1,NA
2010,LTER_4,Backreef,Turbinaria,2380,29,3.8,0.65,44.6,NA
2010,LTER_4,Backreef,Turbinaria,2342,29.5,3.98,0.717,41.1,NA
2010,LTER_4,Backreef,Turbinaria,2176,29,3.86,0.676,43,NA
2010,LTER_4,Backreef,Turbinaria,2387,27.6,3.8,0.616,44.8,NA
2010,LTER_4,Fringing,Turbinaria,2212,31.8,4.52,0.773,41.2,NA
2010,LTER_4,Fringing,Turbinaria,2415,30.8,4.35,0.616,50.1,NA
2010,LTER_4,Fringing,Turbinaria,2429,31.6,4.52,0.684,46.2,NA
2010,LTER_4,Fringing,Turbinaria,2388,30.6,4.36,0.649,47.1,NA
2010,LTER_4,Fringing,Turbinaria,2376,30.3,4.37,0.741,41,NA
2010,LTER_4,Fringing,Turbinaria,2467,30.2,4.33,0.678,44.6,NA
2010,LTER_4,Fringing,Turbinaria,2249,32,4.54,0.634,50.5,NA
2010,LTER_4,Fringing,Turbinaria,2197,29.8,4.31,0.79,37.8,NA
2010,LTER_4,Fringing,Turbinaria,2404,31.3,4.46,0.825,37.9,NA
2010,LTER_4,Reefcrest,Turbinaria,2041,30.4,4.19,0.649,46.9,NA
2010,LTER_4,Reefcrest,Turbinaria,2009,31.2,4.39,0.708,44,NA
2010,LTER_4,Reefcrest,Turbinaria,2115,32.9,5.06,0.51,64.5,NA
2010,LTER_4,Reefcrest,Turbinaria,2203,29.9,4.17,0.612,48.9,NA
2010,LTER_4,Reefcrest,Turbinaria,2335,29.1,3.81,0.768,38,NA
2010,LTER_4,Reefcrest,Turbinaria,2297,27.4,3.71,0.691,39.7,NA
2010,LTER_4,Reefcrest,Turbinaria,2018,30.9,4.29,0.721,42.8,NA
2010,LTER_4,Reefcrest,Turbinaria,2336,29.2,4.07,0.731,39.9,NA
2010,LTER_4,Reefcrest,Turbinaria,2121,29,4.04,0.664,43.7,NA
2010,LTER_4,Reefcrest,Turbinaria,2201,28.7,4.03,0.705,40.8,NA
2010,LTER_5,Backreef,Turbinaria,2129,28.9,3.91,0.753,38.4,NA
2010,LTER_5,Backreef,Turbinaria,2427,29.2,4.02,0.626,46.6,NA
2010,LTER_5,Backreef,Turbinaria,2260,28.4,3.88,0.801,35.4,NA
2010,LTER_5,Backreef,Turbinaria,2529,29.1,4.03,0.663,43.9,NA
2010,LTER_5,Backreef,Turbinaria,2272,29.4,4.05,0.669,44,NA
2010,LTER_5,Backreef,Turbinaria,2485,29.4,4.13,0.538,54.7,NA
2010,LTER_5,Backreef,Turbinaria,2314,28.4,3.98,0.651,43.7,NA
2010,LTER_5,Fringing,Turbinaria,2227,26.9,3.46,0.858,31.4,NA
2010,LTER_5,Fringing,Turbinaria,2246,25.9,3.37,0.747,34.6,NA
2010,LTER_5,Fringing,Turbinaria,2237,26.2,3.39,0.848,30.9,NA
2010,LTER_5,Fringing,Turbinaria,2164,27.7,3.56,0.796,34.8,NA
2010,LTER_5,Fringing,Turbinaria,2345,29.1,4.08,0.888,32.7,NA
2010,LTER_5,Fringing,Turbinaria,2310,27.9,3.85,0.773,36.1,NA
2010,LTER_5,Fringing,Turbinaria,2217,28,3.88,0.794,35.2,NA
2010,LTER_5,Fringing,Turbinaria,2240,27.9,3.88,0.863,32.3,NA
2010,LTER_5,Fringing,Turbinaria,2047,25.6,3.51,0.787,32.5,NA
2010,LTER_5,Fringing,Turbinaria,2308,26.9,3.71,0.8,33.6,NA
2010,LTER_5,Reefcrest,Turbinaria,2073,28.4,3.77,0.772,36.8,NA
2010,LTER_5,Reefcrest,Turbinaria,2110,30.8,4.19,0.627,49.2,NA
2010,LTER_5,Reefcrest,Turbinaria,2425,28.4,3.78,0.873,32.5,NA
2010,LTER_5,Reefcrest,Turbinaria,2144,28.1,3.79,0.83,33.9,NA
2010,LTER_5,Reefcrest,Turbinaria,2192,28.3,3.76,0.675,41.9,NA
2010,LTER_5,Reefcrest,Turbinaria,2467,31.1,4.35,0.834,37.3,NA
2010,LTER_5,Reefcrest,Turbinaria,2380,30.3,4.26,0.536,56.5,NA
2010,LTER_5,Reefcrest,Turbinaria,2502,28.5,3.89,0.774,36.9,NA
2010,LTER_5,Reefcrest,Turbinaria,2443,29.4,3.92,0.896,32.8,NA
2010,LTER_5,Reefcrest,Turbinaria,2082,28.4,3.8,0.74,38.5,NA
2010,LTER_6,Backreef,Turbinaria,2140,27.5,3.67,0.676,40.6,NA
2010,LTER_6,Backreef,Turbinaria,2119,28.5,3.78,0.837,34,NA
2010,LTER_6,Backreef,Turbinaria,2347,27.5,3.7,0.735,37.5,NA
2010,LTER_6,Backreef,Turbinaria,2447,26.7,3.65,0.7,38.2,NA
2010,LTER_6,Backreef,Turbinaria,2448,27.3,3.71,0.859,31.7,NA
2010,LTER_6,Backreef,Turbinaria,2305,27.4,3.67,0.717,38.3,NA
2010,LTER_6,Backreef,Turbinaria,2191,28,3.8,0.732,38.2,NA
2010,LTER_6,Backreef,Turbinaria,2346,26.8,3.48,0.635,42.1,NA
2010,LTER_6,Backreef,Turbinaria,2284,26.8,3.67,0.706,38,NA
2010,LTER_6,Backreef,Turbinaria,2338,26,3.54,0.622,41.9,NA
2010,LTER_6,Fringing,Turbinaria,2357,28.2,3.64,0.64,44,NA
2010,LTER_6,Fringing,Turbinaria,2302,27.5,3.47,0.915,30.1,NA
2010,LTER_6,Fringing,Turbinaria,2437,27.3,3.48,0.799,34.2,NA
2010,LTER_6,Fringing,Turbinaria,2271,27.3,3.51,0.697,39.2,NA
2010,LTER_6,Fringing,Turbinaria,2188,27.1,3.41,0.912,29.7,NA
2010,LTER_6,Fringing,Turbinaria,2377,27.4,3.53,0.686,40,NA
2010,LTER_6,Fringing,Turbinaria,2484,27.2,3.48,0.774,35.2,NA
2010,LTER_6,Fringing,Turbinaria,2145,28.1,3.48,0.669,42,NA
2010,LTER_6,Fringing,Turbinaria,2249,26.9,3.48,0.855,31.4,NA
2010,LTER_6,Fringing,Turbinaria,2286,25.7,3.38,0.926,27.8,NA
2010,LTER_6,Reefcrest,Turbinaria,2172,30.8,3.88,0.664,46.3,NA
2010,LTER_6,Reefcrest,Turbinaria,2136,28.4,3.73,0.658,43.2,NA
2010,LTER_6,Reefcrest,Turbinaria,2159,29.2,3.92,0.651,44.9,NA
2010,LTER_6,Reefcrest,Turbinaria,2130,31.6,4.31,0.666,47.5,NA
2010,LTER_6,Reefcrest,Turbinaria,2164,25.7,3.26,0.712,36.2,NA
2010,LTER_6,Reefcrest,Turbinaria,2484,29.4,3.8,0.678,43.3,NA
2010,LTER_6,Reefcrest,Turbinaria,2138,28.5,3.64,0.766,37.3,NA
2010,LTER_6,Reefcrest,Turbinaria,2059,28.3,3.59,0.689,41.1,NA
2010,LTER_6,Reefcrest,Turbinaria,2439,30.9,4.24,0.631,49,NA
2010,LTER_6,Reefcrest,Turbinaria,2099,27.1,3.45,0.93,29.2,NA
2011,LTER_1,Backreef,Turbinaria,1908,25.8,3.37,0.74,35.1,NA
2011,LTER_1,Backreef,Turbinaria,2229,26.9,3.47,0.71,37.7,NA
2011,LTER_1,Backreef,Turbinaria,1970,25.8,3.33,0.66,39.1,NA
2011,LTER_1,Backreef,Turbinaria,2190,26.4,3.33,0.74,35.9,NA
2011,LTER_1,Backreef,Turbinaria,2146,26.6,3.32,0.72,37.1,NA
2011,LTER_1,Backreef,Turbinaria,2218,27.8,3.61,0.61,45.4,NA
2011,LTER_1,Backreef,Turbinaria,2916,26.5,3.36,0.71,37.4,NA
2011,LTER_1,Backreef,Turbinaria,2909,25.9,3.47,0.73,35.3,NA
2011,LTER_1,Backreef,Turbinaria,2583,26,3.48,0.75,34.6,NA
2011,LTER_1,Backreef,Turbinaria,2830,25.7,3.39,0.64,40.3,NA
2011,LTER_1,Fringing,Turbinaria,2325,28.2,3.64,0.72,39,NA
2011,LTER_1,Fringing,Turbinaria,2496,25.9,3.49,0.8,32.2,NA
2011,LTER_1,Fringing,Turbinaria,1983,28.6,3.85,0.76,37.5,NA
2011,LTER_1,Fringing,Turbinaria,1970,25.6,3.41,0.7,36.5,NA
2011,LTER_1,Fringing,Turbinaria,1971,28,3.81,0.86,32.5,NA
2011,LTER_1,Fringing,Turbinaria,2072,27,3.7,0.79,34.2,NA
2011,LTER_1,Fringing,Turbinaria,1937,26.8,3.54,0.65,41.2,NA
2011,LTER_1,Fringing,Turbinaria,1888,30.1,4.11,1.02,29.6,NA
2011,LTER_1,Fringing,Turbinaria,2048,27.1,3.66,0.88,30.8,NA
2011,LTER_1,Fringing,Turbinaria,2016,27.3,3.63,0.92,29.6,NA
2011,LTER_1,Reefcrest,Sargassum,2127,31.7,4.33,0.98,32.3,NA
2011,LTER_1,Reefcrest,Sargassum,2950,31.9,4.08,1.07,29.9,NA
2011,LTER_1,Reefcrest,Sargassum,2755,32.5,4.62,0.84,39,NA
2011,LTER_1,Reefcrest,Sargassum,2327,30.6,4.33,1.15,26.5,NA
2011,LTER_1,Reefcrest,Sargassum,2469,30,4.27,1.06,28.4,NA
2011,LTER_1,Reefcrest,Sargassum,2987,31.1,4.37,0.78,39.9,NA
2011,LTER_1,Reefcrest,Sargassum,2950,30.1,4.24,1.07,28.2,NA
2011,LTER_1,Reefcrest,Sargassum,2233,31.3,4.23,1.25,25,NA
2011,LTER_1,Reefcrest,Sargassum,2422,28.1,3.83,1.19,23.6,NA
2011,LTER_1,Reefcrest,Turbinaria,2790,30.3,4.15,0.74,40.9,NA
2011,LTER_1,Reefcrest,Turbinaria,2656,25.6,3.38,0.58,44.1,NA
2011,LTER_1,Reefcrest,Turbinaria,2091,30.1,4.07,0.65,46.6,NA
2011,LTER_1,Reefcrest,Turbinaria,2626,27.7,3.64,0.63,43.7,NA
2011,LTER_1,Reefcrest,Turbinaria,2267,27.2,3.66,0.61,44.5,NA
2011,LTER_1,Reefcrest,Turbinaria,2122,29.3,3.88,0.59,50.1,NA
2011,LTER_1,Reefcrest,Turbinaria,2727,31.6,4.31,0.7,44.9,NA
2011,LTER_1,Reefcrest,Turbinaria,2310,32,4.34,0.8,39.9,NA
2011,LTER_1,Reefcrest,Turbinaria,2670,31.5,4.37,0.67,46.9,NA
2011,LTER_1,Reefcrest,Turbinaria,2574,29.7,3.99,0.72,41.2,NA
